127.0.0.1, 2019-06-23 00:54:28, GET, /Hojas_de_Vida/default/index, HTTP/1.1, 200, 0.022649
127.0.0.1, 2019-06-23 00:54:32, GET, /Hojas_de_Vida/default/hoja_vida_manage, HTTP/1.1, 200, 0.363414
127.0.0.1, 2019-06-23 00:54:39, GET, /Hojas_de_Vida/default/experiencia_laboral_manage, HTTP/1.1, 200, 0.143727
127.0.0.1, 2019-06-23 00:54:41, GET, /Hojas_de_Vida/default/hoja_vida_manage, HTTP/1.1, 200, 0.030282
127.0.0.1, 2019-06-23 00:54:45, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/new/t_hoja_vida, HTTP/1.1, 200, 0.020292
127.0.0.1, 2019-06-23 00:55:15, POST, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/new/t_hoja_vida, HTTP/1.1, 303, 0.169332
127.0.0.1, 2019-06-23 00:55:15, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida, HTTP/1.1, 200, 0.168710
127.0.0.1, 2019-06-23 00:55:25, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_experiencia_laboral.f_hoja/1, HTTP/1.1, 200, 0.027584
127.0.0.1, 2019-06-23 00:55:27, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_experiencia_laboral.f_hoja/1/new/t_experiencia_laboral, HTTP/1.1, 200, 0.027716
127.0.0.1, 2019-06-23 00:55:48, POST, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_experiencia_laboral.f_hoja/1/new/t_experiencia_laboral, HTTP/1.1, 303, 0.163182
127.0.0.1, 2019-06-23 00:55:48, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_experiencia_laboral.f_hoja/1, HTTP/1.1, 200, 0.028704
127.0.0.1, 2019-06-23 00:55:53, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_experiencia_laboral.f_hoja/1/view/t_hoja_vida/1, HTTP/1.1, 200, 0.024789
127.0.0.1, 2019-06-23 00:55:55, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/view/t_hoja_vida/1, HTTP/1.1, 200, 0.027715
127.0.0.1, 2019-06-23 00:55:57, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida, HTTP/1.1, 200, 0.030248
127.0.0.1, 2019-06-23 00:55:59, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/t_experiencia_laboral.f_hoja/1, HTTP/1.1, 200, 0.029278
127.0.0.1, 2019-06-23 00:56:01, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida/view/t_hoja_vida/1, HTTP/1.1, 200, 0.028737
127.0.0.1, 2019-06-23 00:56:02, GET, /Hojas_de_Vida/default/hoja_vida_manage/t_hoja_vida, HTTP/1.1, 200, 0.026854
